,gloss_bbox,gloss_instance_id,gloss_split,gloss_video_id,gloss
0,"[385, 37, 885, 720]",0,train,69241,book
1,"[190, 25, 489, 370]",1,train,65225,book
10,"[462, 44, 949, 720]",10,train,07069,book
17,"[234, 17, 524, 414]",17,train,07068,book
22,"[131, 26, 526, 480]",22,train,07070,book
24,"[162, 54, 528, 400]",24,val,07099,book
25,"[70, 0, 268, 240]",25,train,07071,book
26,"[75, 0, 270, 240]",26,test,07072,book
27,"[64, 0, 273, 240]",27,train,07073,book
29,"[82, 11, 212, 192]",29,train,07074,book
40,"[551, 68, 1350, 1080]",0,val,69302,drink
41,"[153, 11, 488, 370]",1,train,65539,drink
51,"[196, 15, 521, 414]",11,train,17710,drink
56,"[186, 63, 551, 400]",16,train,17733,drink
57,"[167, 19, 480, 370]",17,train,65540,drink
58,"[183, 55, 552, 400]",18,val,17734,drink
59,"[289, 9, 783, 480]",19,train,17711,drink
60,"[673, 90, 1571, 1072]",20,train,17712,drink
61,"[28, 0, 542, 480]",21,test,17713,drink
62,"[53, 9, 579, 480]",22,train,17714,drink
63,"[57, 0, 586, 480]",23,train,17715,drink
64,"[113, 0, 493, 360]",24,test,17716,drink
65,"[112, 0, 509, 360]",25,train,17717,drink
66,"[84, 0, 506, 360]",26,test,17718,drink
67,"[41, 9, 257, 240]",27,train,17709,drink
69,"[124, 0, 542, 360]",29,train,17719,drink
70,"[49, 3, 220, 192]",30,train,17720,drink
71,"[66, 19, 209, 192]",31,train,17721,drink
72,"[66, 19, 209, 192]",32,train,17722,drink
73,"[65, 20, 208, 192]",33,train,17723,drink
74,"[68, 18, 220, 192]",34,val,17724,drink
78,"[56, 11, 240, 192]",3,train,12328,computer
81,"[422, 50, 824, 720]",6,val,12312,computer
87,"[27, 0, 313, 240]",13,train,12311,computer
89,"[221, 42, 501, 400]",15,train,12338,computer
90,"[409, 51, 833, 720]",16,train,12313,computer
91,"[257, 38, 1684, 1080]",17,train,12314,computer
92,"[436, 35, 1765, 1080]",18,val,12315,computer
93,"[412, 18, 1698, 1080]",19,train,12316,computer
94,"[473, 44, 1708, 1080]",20,train,12317,computer
95,"[365, 45, 1673, 1080]",21,train,12318,computer
96,"[494, 99, 1414, 1077]",22,train,12319,computer
97,"[74, 19, 565, 480]",23,test,12320,computer
99,"[115, 0, 561, 480]",25,train,12321,computer
100,"[107, 0, 534, 480]",26,train,12322,computer
101,"[14, 0, 521, 480]",27,train,12323,computer
102,"[120, 9, 522, 360]",28,train,12324,computer
103,"[69, 9, 214, 192]",30,val,12326,computer
104,"[63, 0, 218, 192]",31,train,12327,computer
110,"[624, 70, 1587, 1070]",6,train,05728,before
113,"[167, 52, 512, 400]",9,train,05749,before
114,"[171, 52, 513, 400]",10,val,05750,before
115,"[300, 12, 1202, 1080]",11,train,05729,before
116,"[712, 64, 1652, 1080]",12,train,05730,before
117,"[190, 0, 504, 370]",13,train,65167,before
118,"[570, 98, 1535, 1080]",14,train,05731,before
119,"[103, 25, 528, 480]",15,train,05732,before
120,"[95, 23, 533, 480]",16,train,05733,before
121,"[129, 0, 555, 480]",17,train,05734,before
122,"[30, 4, 550, 480]",18,test,05735,before
123,"[59, 0, 303, 240]",19,val,05736,before
124,"[386, 45, 810, 720]",20,test,05727,before
125,"[102, 11, 532, 480]",21,val,05737,before
126,"[74, 23, 209, 192]",23,test,05739,before
127,"[90, 22, 203, 192]",24,train,05740,before
128,"[65, 9, 219, 192]",25,test,05741,before
129,"[67, 14, 216, 192]",26,train,05742,before
130,"[43, 3, 212, 192]",27,train,05743,before
138,"[40, 6, 266, 240]",8,train,09848,chair
140,"[183, 55, 560, 400]",11,train,09869,chair
141,"[388, 56, 806, 720]",12,train,09849,chair
142,"[667, 144, 1472, 1061]",13,train,09850,chair
143,"[102, 22, 563, 480]",14,val,09851,chair
144,"[169, 15, 476, 370]",15,train,65328,chair
145,"[60, 0, 306, 240]",17,train,09853,chair
146,"[81, 15, 233, 192]",18,val,09854,chair
158,"[268, 38, 898, 720]",1,val,69345,go
160,"[79, 22, 201, 192]",3,train,24955,go
161,"[81, 22, 199, 192]",4,train,24956,go
162,"[187, 18, 526, 414]",8,train,24941,go
163,"[78, 25, 214, 192]",9,test,24960,go
164,"[78, 25, 214, 192]",10,train,24961,go
165,"[88, 25, 217, 192]",11,train,24962,go
171,"[149, 9, 591, 370]",24,train,65824,go
172,"[229, 42, 573, 400]",25,train,24973,go
173,"[283, 19, 812, 480]",26,train,24943,go
174,"[607, 62, 1534, 1075]",29,val,24946,go
175,"[58, 2, 557, 480]",30,train,24947,go
176,"[37, 7, 273, 240]",31,val,24948,go
177,"[37, 1, 284, 240]",33,train,24940,go
179,"[4, 9, 525, 480]",35,train,24950,go
180,"[13, 1, 526, 480]",36,train,24951,go
181,"[32, 14, 204, 192]",37,val,24952,go
182,"[79, 22, 201, 192]",39,train,24954,go
188,"[403, 67, 893, 720]",5,train,11310,clothes
190,"[165, 51, 578, 400]",7,train,11330,clothes
191,"[70, 21, 614, 480]",8,test,11311,clothes
192,"[42, 0, 612, 480]",9,train,11312,clothes
193,"[56, 8, 243, 192]",10,train,11313,clothes
196,"[21, 2, 304, 240]",13,train,11309,clothes
209,"[381, 45, 868, 720]",1,train,69534,who
215,"[188, 55, 546, 400]",7,train,63242,who
216,"[235, 15, 526, 414]",8,test,63226,who
217,"[687, 96, 1421, 1080]",9,train,63227,who
218,"[693, 88, 1401, 1080]",10,train,63228,who
219,"[655, 72, 1505, 1071]",11,val,63229,who
220,"[342, 20, 1162, 1080]",12,val,63230,who
221,"[128, 8, 517, 480]",13,train,63231,who
222,"[165, 4, 472, 370]",14,train,66778,who
223,"[112, 28, 507, 480]",15,train,63232,who
224,"[121, 12, 533, 480]",16,test,63233,who
225,"[173, 0, 516, 360]",17,val,63234,who
226,"[167, 3, 471, 370]",18,train,66779,who
228,"[35, 0, 293, 240]",20,train,63225,who
230,"[81, 19, 207, 192]",23,train,63236,who
231,"[82, 17, 212, 192]",24,val,63237,who
238,"[153, 55, 539, 400]",5,val,08929,candy
239,"[163, 14, 517, 414]",6,train,08916,candy
240,"[784, 153, 1501, 1080]",7,train,08917,candy
241,"[774, 153, 1499, 1080]",8,val,08918,candy
242,"[647, 60, 1538, 1065]",9,train,08919,candy
243,"[675, 65, 1529, 1060]",10,train,08920,candy
244,"[66, 24, 572, 480]",11,train,08921,candy
245,"[56, 15, 264, 240]",12,val,08922,candy
246,"[16, 8, 268, 240]",13,train,08923,candy
247,"[186, 15, 467, 370]",14,train,65298,candy
248,"[80, 11, 216, 192]",15,train,08924,candy
249,"[136, 16, 469, 370]",16,train,65299,candy
250,"[195, 16, 467, 370]",17,test,65300,candy
251,"[23, 0, 286, 240]",18,test,08915,candy
254,"[78, 15, 233, 192]",21,test,08925,candy
257,"[134, 17, 491, 370]",0,test,65415,cousin
260,"[205, 43, 479, 400]",3,train,13647,cousin
261,"[192, 41, 488, 400]",4,train,13648,cousin
262,"[463, 67, 856, 720]",5,train,13631,cousin
263,"[428, 69, 853, 720]",6,train,13632,cousin
264,"[297, 16, 772, 480]",7,val,13633,cousin
265,"[99, 24, 512, 480]",8,val,13634,cousin
266,"[59, 25, 528, 480]",9,test,13635,cousin
267,"[55, 27, 520, 480]",10,train,13636,cousin
268,"[49, 17, 258, 240]",11,train,13637,cousin
269,"[31, 16, 254, 240]",12,train,13638,cousin
270,"[67, 17, 251, 234]",13,train,13630,cousin
271,"[63, 15, 257, 240]",14,val,13639,cousin
273,"[52, 9, 225, 192]",16,train,13640,cousin
274,"[79, 8, 222, 192]",17,val,13641,cousin
275,"[54, 9, 222, 192]",18,train,13642,cousin
279,"[174, 36, 487, 400]",22,train,13646,cousin
286,"[186, 15, 525, 414]",6,train,14882,deaf
288,"[170, 62, 532, 400]",9,val,14903,deaf
289,"[738, 111, 1463, 1080]",10,test,14883,deaf
290,"[677, 59, 1527, 1061]",11,train,14884,deaf
291,"[727, 115, 1483, 1078]",12,train,14885,deaf
292,"[445, 35, 1030, 709]",13,train,14886,deaf
293,"[170, 15, 476, 370]",14,train,65445,deaf
294,"[111, 30, 517, 480]",15,val,14887,deaf
295,"[95, 28, 530, 480]",16,test,14888,deaf
296,"[36, 0, 527, 480]",17,train,14889,deaf
297,"[30, 0, 526, 480]",20,val,14891,deaf
298,"[66, 24, 205, 192]",21,train,14893,deaf
299,"[60, 24, 206, 192]",22,train,14894,deaf
303,"[160, 15, 471, 370]",0,test,65717,fine
310,"[414, 53, 804, 720]",7,train,21870,fine
312,"[166, 54, 515, 400]",9,test,21890,fine
313,"[236, 35, 486, 400]",10,train,21891,fine
314,"[206, 15, 518, 414]",11,train,21871,fine
315,"[344, 10, 770, 480]",12,val,21872,fine
316,"[67, 10, 236, 240]",13,train,21869,fine
317,"[57, 6, 600, 480]",15,val,21874,fine
318,"[7, 0, 532, 480]",16,train,21875,fine
319,"[64, 0, 586, 480]",17,train,21876,fine
320,"[69, 14, 214, 192]",19,train,21878,fine
323,"[72, 15, 216, 192]",26,train,21883,fine
326,"[605, 64, 1417, 1080]",1,val,69364,help
329,"[198, 56, 563, 400]",4,train,27221,help
330,"[211, 16, 525, 414]",5,train,27206,help
331,"[665, 54, 1608, 1080]",6,train,27207,help
332,"[80, 14, 536, 480]",7,train,27208,help
333,"[66, 20, 607, 480]",8,test,27209,help
334,"[63, 17, 284, 240]",9,train,27210,help
335,"[55, 0, 298, 240]",10,train,27211,help
336,"[171, 0, 515, 360]",11,train,27212,help
337,"[182, 14, 465, 370]",12,train,65890,help
338,"[92, 24, 202, 192]",13,test,27213,help
339,"[77, 3, 220, 192]",14,train,27214,help
340,"[188, 14, 463, 370]",15,val,65891,help
341,"[188, 15, 469, 370]",16,train,65889,help
343,"[72, 14, 217, 192]",19,train,27215,help
344,"[67, 5, 217, 192]",20,train,27216,help
345,"[61, 12, 213, 192]",21,train,27217,help
348,"[274, 43, 875, 720]",1,val,69411,no
355,"[223, 12, 525, 414]",9,test,38525,no
356,"[258, 38, 509, 400]",10,train,38544,no
357,"[777, 24, 1651, 1080]",12,train,38527,no
358,"[88, 0, 502, 480]",15,train,38529,no
359,"[138, 36, 517, 480]",16,train,38530,no
360,"[121, 0, 545, 480]",17,test,38531,no
361,"[74, 22, 205, 192]",18,train,38532,no
362,"[83, 17, 215, 192]",19,val,38533,no
363,"[143, 0, 480, 370]",20,train,66183,no
364,"[54, 0, 261, 240]",21,train,38524,no
366,"[77, 17, 218, 192]",23,train,38534,no
370,"[66, 21, 206, 192]",1,val,57948,thin
371,"[66, 21, 206, 192]",2,train,57949,thin
374,"[427, 57, 820, 720]",6,train,57934,thin
375,"[214, 53, 566, 400]",7,train,57953,thin
376,"[437, 57, 825, 720]",8,train,57935,thin
377,"[840, 75, 1596, 1075]",9,train,57936,thin
378,"[740, 74, 1629, 1076]",10,train,57937,thin
379,"[183, 26, 437, 370]",11,train,66606,thin
380,"[856, 69, 1733, 1080]",13,train,57939,thin
381,"[690, 97, 1426, 1080]",14,train,57940,thin
382,"[823, 73, 1592, 1080]",15,test,57941,thin
383,"[120, 0, 533, 480]",16,train,57942,thin
384,"[169, 35, 479, 370]",17,val,66607,thin
385,"[59, 0, 282, 240]",18,val,57933,thin
387,"[129, 21, 550, 480]",20,test,57943,thin
388,"[56, 0, 581, 480]",21,test,57944,thin
389,"[116, 0, 567, 480]",22,val,57945,thin
390,"[90, 24, 227, 192]",24,train,57947,thin
397,"[201, 38, 529, 400]",6,train,62175,walk
398,"[209, 14, 581, 414]",7,train,62159,walk
399,"[513, 128, 1847, 1080]",8,test,62160,walk
400,"[585, 136, 1828, 1080]",11,train,62163,walk
401,"[122, 0, 592, 480]",12,train,62164,walk
402,"[73, 1, 586, 480]",13,train,62165,walk
403,"[202, 29, 478, 370]",14,train,66743,walk
404,"[59, 1, 564, 480]",15,test,62166,walk
405,"[155, 31, 517, 370]",17,train,66742,walk
406,"[30, 0, 285, 240]",18,val,62158,walk
408,"[76, 17, 237, 192]",20,train,62168,walk
409,"[73, 16, 239, 192]",21,train,62169,walk
410,"[57, 16, 224, 192]",22,train,62170,walk
414,"[565, 54, 1534, 1080]",1,val,64211,year
420,"[176, 52, 537, 400]",7,train,64224,year
421,"[229, 13, 548, 414]",8,test,64210,year
422,"[642, 59, 1646, 1080]",10,train,64212,year
423,"[157, 8, 461, 370]",11,train,66818,year
424,"[82, 0, 535, 480]",12,train,64213,year
425,"[188, 33, 482, 370]",13,train,66816,year
426,"[52, 0, 274, 240]",15,test,64209,year
427,"[75, 9, 513, 480]",16,train,64215,year
428,"[53, 8, 262, 240]",17,val,64216,year
430,"[117, 0, 494, 360]",19,train,64217,year
431,"[88, 16, 226, 192]",20,train,64219,year
432,"[72, 15, 221, 192]",21,train,64218,year
436,"[214, 41, 881, 720]",1,val,69546,yes
437,"[120, 4, 526, 480]",2,val,64287,yes
439,"[107, 14, 561, 480]",4,train,64290,yes
440,"[724, 29, 1675, 1080]",5,train,64284,yes
441,"[81, 25, 212, 192]",6,train,64291,yes
442,"[79, 23, 212, 192]",8,train,64292,yes
443,"[70, 20, 212, 192]",9,test,64293,yes
447,"[168, 14, 461, 370]",13,train,66820,yes
449,"[20, 13, 258, 240]",15,train,64280,yes
452,"[235, 44, 478, 400]",18,train,64300,yes
453,"[222, 13, 524, 414]",19,train,64281,yes
454,"[143, 25, 514, 480]",20,train,64288,yes
455,"[106, 14, 568, 480]",22,train,64289,yes
456,"[625, 111, 1483, 1063]",23,train,64283,yes
458,"[439, 68, 1366, 1080]",1,train,69206,all
462,"[171, 49, 564, 400]",5,train,02003,all
463,"[351, 53, 821, 720]",6,train,01987,all
464,"[32, 13, 543, 480]",7,train,01988,all
465,"[75, 5, 505, 360]",8,train,01989,all
466,"[31, 33, 519, 480]",9,train,01990,all
467,"[43, 22, 221, 192]",10,train,01991,all
468,"[47, 23, 228, 192]",11,train,01992,all
469,"[149, 10, 464, 370]",14,train,65043,all
471,"[43, 0, 269, 240]",16,test,01986,all
479,"[295, 38, 885, 720]",1,val,69236,black
482,"[205, 17, 524, 414]",4,train,06472,black
483,"[544, 60, 1618, 1080]",5,train,06473,black
484,"[77, 18, 515, 480]",6,train,06474,black
485,"[37, 44, 544, 480]",7,train,06475,black
486,"[58, 15, 216, 192]",8,val,06476,black
487,"[48, 11, 226, 192]",9,train,06477,black
488,"[63, 8, 245, 192]",10,train,06478,black
490,"[149, 24, 479, 370]",13,train,65200,black
491,"[66, 13, 258, 240]",14,train,06471,black
498,"[131, 52, 555, 400]",21,train,06486,black
499,"[148, 9, 605, 480]",0,train,69281,cool
500,"[175, 17, 495, 370]",1,train,65403,cool
502,"[73, 16, 215, 192]",3,train,13213,cool
504,"[504, 69, 1606, 1080]",6,val,13197,cool
505,"[154, 51, 527, 400]",7,train,13216,cool
