,gloss_bbox,gloss_fps,gloss_frame_end,gloss_frame_start,gloss_instance_id,gloss_signer_id,gloss_source,gloss_split,gloss_url,gloss_variation_id,gloss_video_id,gloss
0,"[385, 37, 885, 720]",25,-1,1,0,118,aslbrick,train,http://aslbricks.org/New/ASL-Videos/book.mp4,0,69241,book
1,"[190, 25, 489, 370]",25,-1,1,1,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,0,65225,book
10,"[462, 44, 949, 720]",25,-1,1,10,31,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,0,07069,book
17,"[234, 17, 524, 414]",25,-1,1,17,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,0,07068,book
22,"[131, 26, 526, 480]",25,-1,1,22,59,asldeafined,train,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,0,07070,book
24,"[162, 54, 528, 400]",25,-1,1,24,12,aslsearch,val,http://www.aslsearch.com/signs/videos/book.mp4,0,07099,book
25,"[70, 0, 268, 240]",25,-1,1,25,14,handspeak,train,https://www.handspeak.com/word/b/book2.mp4,0,07071,book
26,"[75, 0, 270, 240]",25,-1,1,26,14,handspeak,test,https://www.handspeak.com/word/b/book.mp4,0,07072,book
27,"[64, 0, 273, 240]",25,-1,1,27,14,handspeak,train,https://www.handspeak.com/word/b/books-pile.mp4,0,07073,book
29,"[82, 11, 212, 192]",25,-1,1,29,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,0,07074,book
40,"[551, 68, 1350, 1080]",25,-1,1,0,115,aslbrick,val,http://aslbricks.org/New/ASL-Videos/drink.mp4,0,69302,drink
41,"[153, 11, 488, 370]",25,-1,1,1,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4,0,65539,drink
51,"[196, 15, 521, 414]",25,-1,1,11,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4,0,17710,drink
56,"[186, 63, 551, 400]",25,-1,1,16,12,aslsearch,train,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4,0,17733,drink
57,"[167, 19, 480, 370]",25,-1,1,17,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4,0,65540,drink
58,"[183, 55, 552, 400]",25,-1,1,18,12,aslsearch,val,http://www.aslsearch.com/signs/videos/drink.mp4,0,17734,drink
59,"[289, 9, 783, 480]",25,-1,1,19,52,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4,0,17711,drink
60,"[673, 90, 1571, 1072]",25,-1,1,20,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4,0,17712,drink
61,"[28, 0, 542, 480]",25,-1,1,21,21,asldeafined,test,https://media.asldeafined.com/vocabulary/1467773819.9825.mp4,0,17713,drink
62,"[53, 9, 579, 480]",25,-1,1,22,20,handspeak,train,https://www.handspeak.com/word/d/drink2.mp4,0,17714,drink
63,"[57, 0, 586, 480]",25,-1,1,23,14,handspeak,train,https://www.handspeak.com/word/d/drink-alcohol.mp4,0,17715,drink
64,"[113, 0, 493, 360]",25,-1,1,24,20,handspeak,test,https://www.handspeak.com/word/d/drink-british.mp4,0,17716,drink
65,"[112, 0, 509, 360]",25,-1,1,25,14,handspeak,train,https://www.handspeak.com/word/d/drink.mp4,0,17717,drink
66,"[84, 0, 506, 360]",25,-1,1,26,20,handspeak,test,https://www.handspeak.com/word/d/drink-mug.mp4,0,17718,drink
67,"[41, 9, 257, 240]",25,-1,1,27,2,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/153289.mp4,0,17709,drink
69,"[124, 0, 542, 360]",25,-1,1,29,14,handspeak,train,https://www.handspeak.com/word/d/drink-plu.mp4,0,17719,drink
70,"[49, 3, 220, 192]",25,-1,1,30,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14885.mp4,0,17720,drink
71,"[66, 19, 209, 192]",25,-1,1,31,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,0,17721,drink
72,"[66, 19, 209, 192]",25,-1,1,32,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,0,17722,drink
73,"[65, 20, 208, 192]",25,-1,1,33,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23389.mp4,0,17723,drink
74,"[68, 18, 220, 192]",25,-1,1,34,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/7/7796.mp4,0,17724,drink
78,"[56, 11, 240, 192]",25,-1,1,3,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6326.mp4,1,12328,computer
81,"[422, 50, 824, 720]",25,-1,1,6,38,startasl,val,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer-2.mp4,0,12312,computer
87,"[27, 0, 313, 240]",25,-1,1,13,56,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/51378.mp4,1,12311,computer
89,"[221, 42, 501, 400]",25,-1,1,15,41,aslsearch,train,http://www.aslsearch.com/signs/videos/computer.mp4,1,12338,computer
90,"[409, 51, 833, 720]",25,-1,1,16,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer.mp4,1,12313,computer
91,"[257, 38, 1684, 1080]",25,-1,1,17,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4,0,12314,computer
92,"[436, 35, 1765, 1080]",25,-1,1,18,4,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%205-wOn7bu44o4s.mp4,1,12315,computer
93,"[412, 18, 1698, 1080]",25,-1,1,19,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%201-_2YnCKHJy6U.mp4,2,12316,computer
94,"[473, 44, 1708, 1080]",25,-1,1,20,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%202-_HHzYqXw-xU.mp4,2,12317,computer
95,"[365, 45, 1673, 1080]",25,-1,1,21,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%204-1f6Cc5NXBgw.mp4,0,12318,computer
96,"[494, 99, 1414, 1077]",25,-1,1,22,45,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Republic%20of%20Congo-b6U1CIWIPIw.mp4,2,12319,computer
97,"[74, 19, 565, 480]",25,-1,1,23,59,asldeafined,test,https://media.asldeafined.com/vocabulary/1466901185.5915.mp4,1,12320,computer
99,"[115, 0, 561, 480]",25,-1,1,25,20,handspeak,train,https://www.handspeak.com/word/c/computer-arm2.mp4,0,12321,computer
100,"[107, 0, 534, 480]",25,-1,1,26,20,handspeak,train,https://www.handspeak.com/word/c/computer-arm.mp4,0,12322,computer
101,"[14, 0, 521, 480]",25,-1,1,27,20,handspeak,train,https://www.handspeak.com/word/c/computer-head.mp4,2,12323,computer
102,"[120, 9, 522, 360]",25,-1,1,28,14,handspeak,train,https://www.handspeak.com/word/c/computer-old2.mp4,1,12324,computer
103,"[69, 9, 214, 192]",25,-1,1,30,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/6/6011.mp4,0,12326,computer
104,"[63, 0, 218, 192]",25,-1,1,31,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6012.mp4,2,12327,computer
110,"[624, 70, 1587, 1070]",25,-1,1,6,32,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before%202-02xxXtC3G8c.mp4,0,05728,before
113,"[167, 52, 512, 400]",25,-1,1,9,12,aslsearch,train,http://www.aslsearch.com/signs/videos/before3.mp4,0,05749,before
114,"[171, 52, 513, 400]",25,-1,1,10,12,aslsearch,val,http://www.aslsearch.com/signs/videos/before.mp4,1,05750,before
115,"[300, 12, 1202, 1080]",25,-1,1,11,46,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-kM8O_piLegw.mp4,1,05729,before
116,"[712, 64, 1652, 1080]",25,-1,1,12,32,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-Se78WI3j-mI.mp4,1,05730,before
117,"[190, 0, 504, 370]",25,-1,1,13,88,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BE/BEFORE-37.mp4,1,65167,before
118,"[570, 98, 1535, 1080]",25,-1,1,14,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Last-0SLfkAHELAs.mp4,0,05731,before
119,"[103, 25, 528, 480]",25,-1,1,15,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466681314.2550.mp4,0,05732,before
120,"[95, 23, 533, 480]",25,-1,1,16,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466681379.1244.mp4,1,05733,before
121,"[129, 0, 555, 480]",25,-1,1,17,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1468755772.9751.mp4,0,05734,before
122,"[30, 4, 550, 480]",25,-1,1,18,20,handspeak,test,https://www.handspeak.com/word/b/before-long.mp4,0,05735,before
123,"[59, 0, 303, 240]",25,-1,1,19,14,handspeak,val,https://www.handspeak.com/word/b/before.mp4,1,05736,before
124,"[386, 45, 810, 720]",25,-1,1,20,38,startasl,test,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/before.mp4,1,05727,before
125,"[102, 11, 532, 480]",25,-1,1,21,20,handspeak,val,https://www.handspeak.com/word/b/before-past.mp4,0,05737,before
126,"[74, 23, 209, 192]",25,-1,1,23,10,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/22/22829.mp4,1,05739,before
127,"[90, 22, 203, 192]",25,-1,1,24,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/22/22831.mp4,1,05740,before
128,"[65, 9, 219, 192]",25,-1,1,25,11,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/5/5971.mp4,0,05741,before
129,"[67, 14, 216, 192]",25,-1,1,26,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6164.mp4,0,05742,before
130,"[43, 3, 212, 192]",25,-1,1,27,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/9/9194.mp4,0,05743,before
138,"[40, 6, 266, 240]",25,-1,1,8,0,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/74909.mp4,0,09848,chair
140,"[183, 55, 560, 400]",25,-1,1,11,12,aslsearch,train,http://www.aslsearch.com/signs/videos/chair.mp4,0,09869,chair
141,"[388, 56, 806, 720]",25,-1,1,12,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/chair.mp4,0,09849,chair
142,"[667, 144, 1472, 1061]",25,-1,1,13,31,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Chair-mVdtJjs-_20.mp4,0,09850,chair
143,"[102, 22, 563, 480]",25,-1,1,14,59,asldeafined,val,https://media.asldeafined.com/vocabulary/1466729509.9229.mp4,0,09851,chair
144,"[169, 15, 476, 370]",25,-1,1,15,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CH/CHAIR-378.mp4,0,65328,chair
145,"[60, 0, 306, 240]",25,-1,1,17,14,handspeak,train,https://www.handspeak.com/word/c/chair.mp4,0,09853,chair
146,"[81, 15, 233, 192]",25,-1,1,18,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/7/7821.mp4,0,09854,chair
158,"[268, 38, 898, 720]",25,-1,1,1,118,aslbrick,val,http://aslbricks.org/New/ASL-Videos/go.mp4,0,69345,go
160,"[79, 22, 201, 192]",25,-1,1,3,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23400.mp4,0,24955,go
161,"[81, 22, 199, 192]",25,-1,1,4,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23401.mp4,0,24956,go
162,"[187, 18, 526, 414]",25,-1,1,8,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/go.mp4,0,24941,go
163,"[78, 25, 214, 192]",25,-1,1,9,10,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/23/23517.mp4,1,24960,go
164,"[78, 25, 214, 192]",25,-1,1,10,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23517.mp4,1,24961,go
165,"[88, 25, 217, 192]",25,-1,1,11,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23519.mp4,1,24962,go
171,"[149, 9, 591, 370]",25,-1,1,24,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/GO/GO-469.mp4,0,65824,go
172,"[229, 42, 573, 400]",25,-1,1,25,41,aslsearch,train,http://www.aslsearch.com/signs/videos/go.mp4,0,24973,go
173,"[283, 19, 812, 480]",25,-1,1,26,52,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20go-c3j44FTrL9c.mp4,0,24943,go
174,"[607, 62, 1534, 1075]",25,-1,1,29,31,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20To%20Go-BeOwDK5YI0U.mp4,0,24946,go
175,"[58, 2, 557, 480]",25,-1,1,30,21,asldeafined,train,https://media.asldeafined.com/vocabulary/1468549286.5649.mp4,0,24947,go
176,"[37, 7, 273, 240]",25,-1,1,31,14,handspeak,val,https://www.handspeak.com/word/g/go.mp4,0,24948,go
177,"[37, 1, 284, 240]",25,-1,1,33,0,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/58507.mp4,0,24940,go
179,"[4, 9, 525, 480]",25,-1,1,35,14,handspeak,train,https://www.handspeak.com/word/g/go-to2.mp4,1,24950,go
180,"[13, 1, 526, 480]",25,-1,1,36,20,handspeak,train,https://www.handspeak.com/word/g/go-to.mp4,0,24951,go
181,"[32, 14, 204, 192]",25,-1,1,37,10,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/22/22235.mp4,1,24952,go
182,"[79, 22, 201, 192]",25,-1,1,39,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23400.mp4,0,24954,go
188,"[403, 67, 893, 720]",25,-1,1,5,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/clothes.mp4,0,11310,clothes
190,"[165, 51, 578, 400]",25,-1,1,7,12,aslsearch,train,http://www.aslsearch.com/signs/videos/clothes.mp4,0,11330,clothes
191,"[70, 21, 614, 480]",25,-1,1,8,59,asldeafined,test,https://media.asldeafined.com/vocabulary/1466899298.7370.mp4,0,11311,clothes
192,"[42, 0, 612, 480]",25,-1,1,9,20,handspeak,train,https://www.handspeak.com/word/c/clothes.mp4,0,11312,clothes
193,"[56, 8, 243, 192]",25,-1,1,10,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6566.mp4,0,11313,clothes
196,"[21, 2, 304, 240]",25,-1,1,13,42,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/399310.mp4,0,11309,clothes
209,"[381, 45, 868, 720]",25,-1,1,1,118,aslbrick,train,http://aslbricks.org/New/ASL-Videos/who.mp4,0,69534,who
215,"[188, 55, 546, 400]",25,-1,1,7,12,aslsearch,train,http://www.aslsearch.com/signs/videos/who.mp4,0,63242,who
216,"[235, 15, 526, 414]",25,-1,1,8,36,startasl,test,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/who.mp4,0,63226,who
217,"[687, 96, 1421, 1080]",25,-1,1,9,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who%202-P20hHY3qUEQ.mp4,0,63227,who
218,"[693, 88, 1401, 1080]",25,-1,1,10,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-rehp_kwiS-I.mp4,0,63228,who
219,"[655, 72, 1505, 1071]",25,-1,1,11,4,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-wmIY6Yo-vp8.mp4,0,63229,who
220,"[342, 20, 1162, 1080]",25,-1,1,12,46,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-xchfz0eTaP8.mp4,0,63230,who
221,"[128, 8, 517, 480]",25,-1,1,13,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1468928348.68.mp4,0,63231,who
222,"[165, 4, 472, 370]",25,-1,1,14,88,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WH/WHO-1430.mp4,0,66778,who
223,"[112, 28, 507, 480]",25,-1,1,15,59,asldeafined,train,https://media.asldeafined.com/vocabulary/1539176590.1089.mp4,0,63232,who
224,"[121, 12, 533, 480]",25,-1,1,16,14,handspeak,test,https://www.handspeak.com/word/w/who.mp4,0,63233,who
225,"[173, 0, 516, 360]",25,-1,1,17,20,handspeak,val,https://www.handspeak.com/word/w/who-old.mp4,0,63234,who
226,"[167, 3, 471, 370]",25,-1,1,18,88,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WH/WHO-2236.mp4,0,66779,who
228,"[35, 0, 293, 240]",25,-1,1,20,42,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/51811.mp4,0,63225,who
230,"[81, 19, 207, 192]",25,-1,1,23,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/9/9019.mp4,0,63236,who
231,"[82, 17, 212, 192]",25,-1,1,24,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/9/9020.mp4,0,63237,who
238,"[153, 55, 539, 400]",25,-1,1,5,12,aslsearch,val,http://www.aslsearch.com/signs/videos/candy.mp4,1,08929,candy
239,"[163, 14, 517, 414]",25,-1,1,6,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/candy.mp4,1,08916,candy
240,"[784, 153, 1501, 1080]",25,-1,1,7,39,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy%2C%20It%27s%20Nothing%202-dsVi-FR4eBg.mp4,0,08917,candy
241,"[774, 153, 1499, 1080]",25,-1,1,8,39,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy%2C%20It%27s%20Nothing-YX3NQ7iEwiE.mp4,0,08918,candy
242,"[647, 60, 1538, 1065]",25,-1,1,9,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy-v1iNoQ1DZ7c.mp4,1,08919,candy
243,"[675, 65, 1529, 1060]",25,-1,1,10,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cute-Dl2ekdgVRTg.mp4,0,08920,candy
244,"[66, 24, 572, 480]",25,-1,1,11,17,asldeafined,train,https://media.asldeafined.com/vocabulary/1471144833.8086.mp4,1,08921,candy
245,"[56, 15, 264, 240]",25,-1,1,12,14,handspeak,val,https://www.handspeak.com/word/c/candy-sweet.mp4,0,08922,candy
246,"[16, 8, 268, 240]",25,-1,1,13,14,handspeak,train,https://www.handspeak.com/word/c/candy-usa.mp4,1,08923,candy
247,"[186, 15, 467, 370]",25,-1,1,14,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CA/CANDY_1-66.mp4,0,65298,candy
248,"[80, 11, 216, 192]",25,-1,1,15,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6123.mp4,0,08924,candy
249,"[136, 16, 469, 370]",25,-1,1,16,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CA/CANDY_1-67.mp4,1,65299,candy
250,"[195, 16, 467, 370]",25,-1,1,17,89,aslsignbank,test,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CA/CANDY_2-1014.mp4,0,65300,candy
251,"[23, 0, 286, 240]",25,-1,1,18,56,spreadthesign,test,https://media.spreadthesign.com/video/mp4/13/51294.mp4,1,08915,candy
254,"[78, 15, 233, 192]",25,-1,1,21,11,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/7/7906.mp4,1,08925,candy
257,"[134, 17, 491, 370]",25,-1,1,0,102,aslsignbank,test,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CO/COUSIN-1171.mp4,0,65415,cousin
260,"[205, 43, 479, 400]",25,-1,1,3,41,aslsearch,train,http://www.aslsearch.com/signs/videos/cousin3.mp4,0,13647,cousin
261,"[192, 41, 488, 400]",25,-1,1,4,41,aslsearch,train,http://www.aslsearch.com/signs/videos/cousin.mp4,0,13648,cousin
262,"[463, 67, 856, 720]",25,-1,1,5,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/cousin-female.mp4,0,13631,cousin
263,"[428, 69, 853, 720]",25,-1,1,6,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/cousin-male.mp4,0,13632,cousin
264,"[297, 16, 772, 480]",25,-1,1,7,60,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cousin-WACMzmRGgY8.mp4,0,13633,cousin
265,"[99, 24, 512, 480]",25,-1,1,8,59,asldeafined,val,https://media.asldeafined.com/vocabulary/1466904377.9296.mp4,0,13634,cousin
266,"[59, 25, 528, 480]",25,-1,1,9,59,asldeafined,test,https://media.asldeafined.com/vocabulary/1466904400.1624.mp4,0,13635,cousin
267,"[55, 27, 520, 480]",25,-1,1,10,59,asldeafined,train,https://media.asldeafined.com/vocabulary/1539177107.4884.mp4,0,13636,cousin
268,"[49, 17, 258, 240]",25,-1,1,11,14,handspeak,train,https://www.handspeak.com/word/c/cousin-female.mp4,0,13637,cousin
269,"[31, 16, 254, 240]",25,-1,1,12,14,handspeak,train,https://www.handspeak.com/word/c/cousin-male.mp4,0,13638,cousin
270,"[67, 17, 251, 234]",25,-1,1,13,35,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/47501.mp4,0,13630,cousin
271,"[63, 15, 257, 240]",25,-1,1,14,14,handspeak,val,https://www.handspeak.com/word/c/cousin.mp4,0,13639,cousin
273,"[52, 9, 225, 192]",25,-1,1,16,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6148.mp4,0,13640,cousin
274,"[79, 8, 222, 192]",25,-1,1,17,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/6/6150.mp4,0,13641,cousin
275,"[54, 9, 222, 192]",25,-1,1,18,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6568.mp4,0,13642,cousin
279,"[174, 36, 487, 400]",25,-1,1,22,41,aslsearch,train,http://www.aslsearch.com/signs/videos/cousin2.mp4,0,13646,cousin
286,"[186, 15, 525, 414]",25,-1,1,6,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/deaf.mp4,0,14882,deaf
288,"[170, 62, 532, 400]",25,-1,1,9,12,aslsearch,val,http://www.aslsearch.com/signs/videos/deaf.mp4,0,14903,deaf
289,"[738, 111, 1463, 1080]",25,-1,1,10,45,signschool,test,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Deaf%202-1tMYCoZB0lE.mp4,0,14883,deaf
290,"[677, 59, 1527, 1061]",25,-1,1,11,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Deaf%202-VoHLEG8FIH4.mp4,0,14884,deaf
291,"[727, 115, 1483, 1078]",25,-1,1,12,45,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Deaf-bHRhz2geOTA.mp4,0,14885,deaf
292,"[445, 35, 1030, 709]",25,-1,1,13,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Deaf.mp4,0,14886,deaf
293,"[170, 15, 476, 370]",25,-1,1,14,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DE/DEAF-103.mp4,0,65445,deaf
294,"[111, 30, 517, 480]",25,-1,1,15,59,asldeafined,val,https://media.asldeafined.com/vocabulary/1466906743.302.mp4,0,14887,deaf
295,"[95, 28, 530, 480]",25,-1,1,16,15,asldeafined,test,https://media.asldeafined.com/vocabulary/1522766619.2346.mp4,0,14888,deaf
296,"[36, 0, 527, 480]",25,-1,1,17,14,handspeak,train,https://www.handspeak.com/word/d/deaf2.mp4,0,14889,deaf
297,"[30, 0, 526, 480]",25,-1,1,20,20,handspeak,val,https://www.handspeak.com/word/d/deaf.mp4,0,14891,deaf
298,"[66, 24, 205, 192]",25,-1,1,21,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23016.mp4,0,14893,deaf
299,"[60, 24, 206, 192]",25,-1,1,22,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23017.mp4,0,14894,deaf
303,"[160, 15, 471, 370]",25,-1,1,0,94,aslsignbank,test,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/FI/FINE-455.mp4,0,65717,fine
310,"[414, 53, 804, 720]",25,-1,1,7,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/fine2.mp4,0,21870,fine
312,"[166, 54, 515, 400]",25,-1,1,9,12,aslsearch,test,http://www.aslsearch.com/signs/videos/cost.mp4,1,21890,fine
313,"[236, 35, 486, 400]",25,-1,1,10,41,aslsearch,train,http://www.aslsearch.com/signs/videos/fine.mp4,0,21891,fine
314,"[206, 15, 518, 414]",25,-1,1,11,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/fine.mp4,0,21871,fine
315,"[344, 10, 770, 480]",25,-1,1,12,52,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20fine5-4SzwErJNYTc.mp4,0,21872,fine
316,"[67, 10, 236, 240]",25,-1,1,13,2,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/92669.mp4,0,21869,fine
317,"[57, 6, 600, 480]",25,-1,1,15,21,asldeafined,val,https://media.asldeafined.com/vocabulary/1468494312.7752.mp4,1,21874,fine
318,"[7, 0, 532, 480]",25,-1,1,16,20,handspeak,train,https://www.handspeak.com/word/f/fine-charge.mp4,1,21875,fine
319,"[64, 0, 586, 480]",25,-1,1,17,20,handspeak,train,https://www.handspeak.com/word/f/fine-good2.mp4,0,21876,fine
320,"[69, 14, 214, 192]",25,-1,1,19,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14347.mp4,0,21878,fine
323,"[72, 15, 216, 192]",25,-1,1,26,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6355.mp4,1,21883,fine
326,"[605, 64, 1417, 1080]",25,-1,1,1,115,aslbrick,val,http://aslbricks.org/New/ASL-Videos/help.mp4,0,69364,help
329,"[198, 56, 563, 400]",25,-1,1,4,12,aslsearch,train,http://www.aslsearch.com/signs/videos/help.mp4,0,27221,help
